hour,power_consumption
-407:-491,4.4056764
-407:-491,4.412906
-408:-491,4.4201136
-408:-491,4.4273434
-408:-491,4.434587
-409:-490,4.4418063
-409:-490,4.449047
-410:-490,4.456273
-410:-490,4.4635215
-410:-490,4.47074
-411:-489,4.477989
-411:-489,4.48522
-412:-489,4.4924803
-412:-489,4.499698
-413:-489,4.5069623
-413:-488,4.5142136
-413:-488,4.5214624
-414:-488,4.528709
-414:-488,4.535973
-415:-488,4.543205
-415:-487,4.5504622
-415:-487,4.557739
-416:-487,4.5649962
-416:-487,4.572265
-417:-487,4.5795274
-407:-491,4.4100795
-407:-491,4.417317
-408:-491,4.424538
-408:-491,4.431768
-409:-491,4.4389753
-409:-490,4.446215
-409:-490,4.4534483
-410:-490,4.460685
-410:-490,4.4679313
-411:-490,4.4751563
-411:-489,4.4824095
-412:-489,4.489652
-412:-489,4.4968863
-412:-489,4.5041275
-413:-489,4.511381
-413:-488,4.5186334
-414:-488,4.525882
-414:-488,4.53313
-414:-488,4.5404034
-415:-488,4.5476527
-415:-487,4.554909
-416:-487,4.5621624
-416:-487,4.569435
-416:-487,4.576686
-407:-491,4.407273
-407:-491,4.4144826
-408:-491,4.42172
-408:-491,4.4289384
-409:-491,4.4361663
-409:-490,4.443401
-409:-490,4.450622
-410:-490,4.4578676
-410:-490,4.4651036
-411:-490,4.4723277
-411:-489,4.479575
-411:-489,4.4868183
-412:-489,4.494071
-412:-489,4.501311
1919:-548,2.089834
1919:-547,2.0953715
1918:-547,2.1009154
1918:-547,2.1064699
1917:-546,2.1120167
1917:-546,2.1175718
1916:-546,2.1231189
1916:-545,2.1286554
1915:-545,2.1342413
1914:-545,2.1398041
1914:-544,2.1453881
1927:-552,2.0160923
1926:-552,2.0215788
1926:-551,2.0270593
1925:-551,2.032569
1925:-551,2.038058
1924:-550,2.0435462
1924:-550,2.0490494
1923:-550,2.054559
1923:-549,2.060076
1922:-549,2.0655837
1921:-549,2.0711203
1921:-548,2.0766494
1920:-548,2.0821555
1920:-548,2.0876853
1919:-547,2.0932145
1919:-547,2.09877
1918:-547,2.1043036
1917:-546,2.1098337
1917:-546,2.1153972
1916:-546,2.1209497
1916:-545,2.1265059
1915:-545,2.1320722
1915:-545,2.1376276
1914:-544,2.1432061
1927:-552,2.0139782
1927:-552,2.0194366
1926:-552,2.0249295
1926:-551,2.0304196
1925:-551,2.0359235
1924:-551,2.0414033
1924:-550,2.0469139
1923:-550,2.052416
1923:-550,2.0579395
1922:-549,2.0634334
1922:-549,2.068955
1921:-549,2.0744908
1920:-548,2.0800078
1920:-548,2.085538
1919:-548,2.0910623
1919:-547,2.0966008
1918:-547,2.1021373
1918:-547,2.107687
1917:-546,2.113222
1917:-546,2.11878
1916:-546,2.1243405
1915:-545,2.1298876
1915:-545,2.1354697
1914:-545,2.1410344
1927:-552,2.0118177
1927:-552,2.0172994
1926:-552,2.022796
1926:-551,2.0282786
4138:-758,3.8000166
4138:-757,3.8016045
4137:-757,3.8031886
4136:-757,3.8047867
4136:-756,3.8063755
4135:-756,3.8079681
4134:-755,3.809581
4134:-755,3.811196
4133:-755,3.8128128
4132:-754,3.8144333
4132:-754,3.816037
4131:-753,3.8176742
4131:-753,3.819317
4130:-752,3.820944
4129:-752,3.8225925
4129:-752,3.8242288
4128:-751,3.8258772
4127:-751,3.8275404
4127:-750,3.8291953
4126:-750,3.8308709
4125:-750,3.8325312
4140:-759,3.7946823
4140:-759,3.7962599
4139:-758,3.797818
4139:-758,3.7994084
4138:-758,3.800987
4137:-757,3.8025572
4137:-757,3.8041432
4136:-756,3.8057544
4135:-756,3.80736
4135:-756,3.8089654
4134:-755,3.810562
4133:-755,3.8121767
4133:-754,3.813789
4132:-754,3.8154082
4131:-753,3.81704
4131:-753,3.818667
4130:-753,3.820309
4129:-752,3.8219488
4129:-752,3.8235972
4128:-751,3.8252318
4128:-751,3.8268905
4127:-751,3.8285453
4126:-750,3.8302085
4126:-750,3.8318765
4141:-759,3.7940693
4140:-759,3.7956302
4139:-759,3.7971995
4139:-758,3.7987835
4138:-758,3.8003602
4137:-757,3.8019528
4137:-757,3.8035333
4136:-757,3.8051248
4136:-756,3.8067408
4135:-756,3.8083193
4134:-755,3.8099415
4134:-755,3.8115425
4133:-754,3.8131583
4132:-754,3.8147807
4132:-754,3.8164077
4131:-753,3.8180234
4130:-753,3.8196821
5936:-1003,9.219179
5935:-1003,9.216975
5934:-1003,9.214784
5934:-1002,9.212606
5933:-1002,9.210415
5932:-1001,9.208219
5932:-1001,9.206059
5931:-1000,9.203882
5947:-1010,9.255721
5946:-1010,9.253459
5945:-1009,9.251209
5945:-1009,9.24895
5944:-1009,9.246714
5943:-1008,9.244465
5943:-1008,9.242226
5942:-1007,9.239995
5941:-1007,9.237763
5941:-1007,9.235526
5940:-1006,9.233303
5939:-1006,9.23108
5939:-1005,9.22887
5938:-1005,9.2266445
5937:-1004,9.22443
5937:-1004,9.222242
5936:-1004,9.220037
5935:-1003,9.217824
5935:-1003,9.215634
5934:-1002,9.213453
5933:-1002,9.211252
5932:-1001,9.20907
5932:-1001,9.206903
5931:-1001,9.204728
5947:-1011,9.25659
5946:-1010,9.254335
5945:-1010,9.252088
5945:-1009,9.249838
5944:-1009,9.247589
5943:-1008,9.24534
5943:-1008,9.2431
5942:-1008,9.240857
5941:-1007,9.238623
5941:-1007,9.2364
5940:-1006,9.234159
5939:-1006,9.231951
5939:-1005,9.229719
5938:-1005,9.2275095
5937:-1005,9.225297
5937:-1004,9.223098
5936:-1004,9.220891
5935:-1003,9.218684
5935:-1003,9.216497
5934:-1002,9.214295
5933:-1002,9.212108
5933:-1002,9.209925
5932:-1001,9.207759
5931:-1001,9.205573
5947:-1011,9.257478
5946:-1010,9.255231
5946:-1010,9.252968
5945:-1009,9.250723
5944:-1009,9.248467
5944:-1009,9.246208
5943:-1008,9.243974
7320:-1215,15.725237
7319:-1214,15.720197
7318:-1214,15.715155
7318:-1214,15.710107
7317:-1213,15.705063
7316:-1213,15.700033
7316:-1212,15.694999
7315:-1212,15.68997
7315:-1212,15.684948
7314:-1211,15.679915
7313:-1211,15.674896
7313:-1210,15.66988
7312:-1210,15.664862
7311:-1210,15.659859
7311:-1209,15.654836
7310:-1209,15.649827
7309:-1208,15.64482
7309:-1208,15.639827
7324:-1217,15.757581
7323:-1217,15.752511
7323:-1216,15.747446
7322:-1216,15.742396
7321:-1216,15.737325
7321:-1215,15.732273
7320:-1215,15.727213
7319:-1214,15.72218
7319:-1214,15.717131
7318:-1214,15.712077
7317:-1213,15.707041
7317:-1213,15.702001
7316:-1213,15.696971
7315:-1212,15.691931
7315:-1212,15.68691
7314:-1211,15.681862
7313:-1211,15.676844
7313:-1211,15.671824
7312:-1210,15.666812
7311:-1210,15.661817
7311:-1209,15.656793
7310:-1209,15.651783
7310:-1209,15.646778
7309:-1208,15.641769
7324:-1217,15.759564
7324:-1217,15.754481
7323:-1217,15.749415
7322:-1216,15.744364
7322:-1216,15.73929
7321:-1215,15.734244
7320:-1215,15.729183
7320:-1215,15.724139
7319:-1214,15.719081
7318:-1214,15.714044
7318:-1213,15.709007
7317:-1213,15.703975
7316:-1213,15.698923
7316:-1212,15.693894
7315:-1212,15.688868
7314:-1212,15.683842
7314:-1211,15.678809
7313:-1211,15.673782
7312:-1210,15.668764
7312:-1210,15.663765
8341:-1365,21.744106
8340:-1365,21.73735
8339:-1364,21.730581
8339:-1364,21.723822
8338:-1363,21.717064
8353:-1372,21.87571
8352:-1371,21.868917
8352:-1371,21.862103
8351:-1371,21.855309
8350:-1370,21.848494
8350:-1370,21.841696
8349:-1370,21.8349
8348:-1369,21.828112
8348:-1369,21.821321
8347:-1369,21.814533
8347:-1368,21.807735
8346:-1368,21.800955
8345:-1368,21.794178
8345:-1367,21.7874
8344:-1367,21.7806
8343:-1366,21.77384
8343:-1366,21.767075
8342:-1366,21.760296
8342:-1365,21.753513
8341:-1365,21.746758
8340:-1365,21.739988
8340:-1364,21.733217
8339:-1364,21.726454
8338:-1364,21.719706
8353:-1372,21.87835
8352:-1372,21.871569
8352:-1371,21.86475
8351:-1371,21.857956
8351:-1371,21.851147
8350:-1370,21.844357
8349:-1370,21.837559
8349:-1369,21.830738
8348:-1369,21.823977
8347:-1369,21.817186
8347:-1368,21.810387
8346:-1368,21.803596
8346:-1368,21.796825
8345:-1367,21.790045
8344:-1367,21.783241
8344:-1367,21.776484
8343:-1366,21.769705
8342:-1366,21.762934
